casualties,fatalities,serious_injuries,minor_injuries
33647,33647,33647,33647
37966,37966,37966,37966
39858,39858,39858,39858
39688,39688,39688,39688
38827,38827,38827,38827
40146,40146,40146,40146
41540,41540,41540,41540
43566,43566,43566,43566
41530,41530,41530,41530
40135,40135,40135,40135
38559,38559,38559,38559
33743,33743,33743,33743
31630,31630,31630,31630
31268,31268,31268,31268
30883,30883,30883,30883
33272,33272,33272,33272
38349,38349,38349,38349
40370,40370,40370,40370
28461,28461,28461,28461
